,coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h
0,bitcoin,BTC,809479566993.5382,-0.45089594,-0.57757389,2.62755406,42702.91012213964,19840439946.221767
1,ethereum,ETH,353644244670.1164,-0.41414227,-1.88050752,-1.88965472,2958.0553208116953,12912742438.006199
2,tether,USDT,78476777090.24521,-0.00505311,0.00290838,0.00235076,1.0006850776095009,54677147641.21661
3,bnb,BNB,66673681719.630135,-0.33934476,-0.62046259,-2.23410185,403.79717576974406,1546381095.6272497
4,usd-coin,USDC,52308601205.22318,-0.00879368,0.04870725,0.02114203,0.9997515148990449,3395208842.826372
5,xrp,XRP,39753970829.2873,-1.80736997,4.47726619,25.12698271,0.8311086119067899,3566585631.3181596
6,cardano,ADA,35894018730.81246,-0.53147754,-4.85346053,-4.4666853,1.0685116648955548,1523214115.2319622
7,solana,SOL,30946073592.770393,-1.15156506,-3.55083285,-13.72672352,97.38707304467239,2036135463.0986211
8,terra-luna,LUNA,20884617380.433674,-1.32624403,-1.4105081,-5.24358413,52.352482976908156,1471301298.0997498
9,avalanche,AVAX,20220271971.10036,-1.89980364,-3.94305926,7.69836745,82.43714067135157,1283691460.1101947
10,dogecoin,DOGE,19206062789.872322,-1.04424674,-2.4219236,-1.67249052,0.14476484620574132,715812299.6166667
11,polkadot-new,DOT,18786198412.344257,-1.31487317,-3.58725923,-10.66082083,19.022470527504524,1123025244.1232026
12,binance-usd,BUSD,17583971894.975616,-0.09915275,-0.11807852,0.10143183,0.9995113413196468,4602005870.304508
13,shiba-inu,SHIB,16064923091.909172,-1.1878474,-4.77451296,29.74942613,2.9258782566532602e-05,1935498457.979257
14,polygon,MATIC,12838349253.206722,-1.38848576,-4.61304822,0.96907046,1.7169825029498058,1331256961.092067
15,crypto-com-coin,CRO,12369273066.120346,-1.14790198,-1.49018696,7.68251192,0.48961985362962873,182309752.62306252
16,terrausd,UST,11400529027.498386,-0.19008064,-0.15363919,-0.05694824,1.0008492856824251,273630086.81399834
17,wrapped-bitcoin,WBTC,11188640662.384943,-0.07004218,-0.35490883,2.91020754,42718.70037658252,170892504.81655484
