nombre,precios,stock
NVIDIA GeForce RTX3060Ti 8GB EAGLE OC,$ 999.990,7
NVIDIA GeForce RTX3060Ti 8GB Gaming X LHR,$ 999.990,3
NVIDIA GeForce RTX3060Ti 8GB Gaming PRO OC,$ 1.049.990,23
NVIDIA GeForce RTX3070 8GB 1-Click OC LHR,$ 1.049.990,+30
NVIDIA GeForce RTX3070 O8GB V2 TUF Gaming LHR,$ 1.099.990,9
NVIDIA GeForce RTX3070 8GB Gaming Pro,$ 1.099.990,+30
NVIDIA GeForce RTX3070 O8GB Dual V2,$ 1.119.990,6
NVIDIA GeForce RTX3070 8GB JetStream V1 LHR,$ 1.119.990,20
NVIDIA GeForce RTX3070Ti 8GB Eagle,$ 1.129.990,1
NVIDIA GeForce RTX3060Ti O8GB Rog Strix V2 Gaming,$ 1.149.990,18
NVIDIA GeForce RTX3070 Ventus 3X 8GB OC LHR,$ 1.159.990,9
AMD Radeon RX 6700XT ROG Strix Gaming O12G,$ 1.189.990,8
NVIDIA GeForce RTX3070Ti 8GB Eagle OC,$ 1.199.990,6
NVIDIA GeForce RTX3070 O8GB Rog Strix V2,$ 1.199.990,1
NVIDIA GeForce RTX3070Ti Gaming Pro 8GB,$ 1.199.990,21
NVIDIA GeForce RTX3070Ti 8GB GameRock LHR,$ 1.199.990,+30
NVIDIA GeForce RTX3070 8GB LHR Gaming Z Trio,$ 1.279.990,5
NVIDIA GeForce RTX3070Ti O8GB TUF Gaming,$ 1.289.990,4
NVIDIA GeForce RTX3070Ti 8GB FTW3 Ultra,$ 1.289.990,1
NVIDIA GeForce RTX3070Ti 8GB Rog Strix,$ 1.299.990,4
NVIDIA GeForce RTX3070Ti 8GB Vision OC,$ 1.329.990,2
NVIDIA GeForce RTX3070Ti 8GB Gaming X Trio,$ 1.349.990,2
NVIDIA GeForce RTX3070Ti O8GB Rog Strix Gaming,$ 1.429.990,5
AMD Radeon RX 6900XT O16G TUF Gaming,$ 1.599.990,1
NVIDIA GeForce RTX3080 10GB GameRock,$ 1.629.990,12
NVIDIA GeForce RTX3080 O10GB Rog Strix V2,$ 1.649.990,2
NVIDIA GeForce RTX3080 10GB Eagle Gaming,$ 1.699.990,+30
NVIDIA GeForce RTX3080 10GB Master V2.0,$ 1.779.990,1
NVIDIA GeForce RTX3080 10GB Gaming Z Trio LHR,$ 1.799.990,2
NVIDIA GeForce RTX3080Ti Gaming OC 12G,$ 1.899.990,8
NVIDIA GeForce RTX3080Ti 12GB GameRock,$ 1.899.990,11
NVIDIA GeForce RTX3080Ti 12GB Gaming X Trio,$ 1.999.990,2
NVIDIA GeForce RTX3080Ti Master 12G,$ 1.999.990,12
NVIDIA GeForce RTX3080Ti TUF Gaming 12G,$ 1.999.990,7
AMD RX 6900XT 16GB Aorus Xtreme Waterforce,$ 1.999.990,+50
NVIDIA GeForce RTX3080Ti TUF Gaming O12G,$ 2.049.990,7
NVIDIA GeForce RTX3080Ti O12GB Rog Strix ,$ 2.349.990,2
NVIDIA GeForce RTX3080Ti 12GB Rog Strix LC Gaming,$ 2.499.990,1
AMD Radeon RX 6900XT 16GB Gaming Z Trio,$ 2.599.990,10
AMD Radeon RX 6900XT Rog Strix LC Gaming 16GB,$ 2.599.990,5
,,
Extensor Cable Riser PEC 300 PCI-E x16 ,$ 29.990,17
NVIDIA GeForce n210 1024MB DDR3,$ 49.990,2
NVIDIA GeForce GT710 1GB GDDR5,$ 74.990,12
NVIDIA GeForce GT710 SL-2GD5-CSM,$ 84.990,17
NVIDIA GT730 2GB Low Profile,$ 95.990,+50
NVIDIA GT730K 2GB D3H/LPV1,$ 99.990,+30
NVIDIA GT730 2GB SL BRK,$ 99.990,+100
