,nombre,precios,stock,enlaces,tienda,modelo,precionumero
0,  RTX3080 10GB TUF GAMING,$ 999.990,0,https://www.pcfactory.cl/producto/38739-asus-video-nvidia-geforce-rtx3080-10gb-tuf-gaming,pcfactory,3080,999990
1,MSI  GTX 1650 VENTUS XS 4G OC,$395.000,1,https://tecno-master.cl/producto/msi-geforce-gtx-1650-ventus-xs-4g-oc-4gb-128-bit-gddr5-pci-express-3-0-x16/,tecno master,1650,395000
2,  RTX3070TI 8GB ROG STRIX,$ 1.489.990,1,https://www.pcfactory.cl/producto/42996-asus-video-nvidia-geforce-rtx3070ti-8gb-rog-strix,pcfactory,3070TI,1489990
3,  RTX3080TI 12GB GAMING X TRIO,$ 1.999.990,1,https://www.pcfactory.cl/producto/42238-msi-video-nvidia-geforce-rtx3080ti-12gb-gaming-x-trio,pcfactory,3080TI,1999990
4,  RTX3090 O24GB TUF GAMING,$ 2.899.990,1,https://www.pcfactory.cl/producto/38737-asus-video-nvidia-geforce-rtx3090-o24gb-tuf-gaming,pcfactory,3090,2899990
5,  GTX1050TI 4GB LOW PROFILE OC,$ 239.990,1,https://www.pcfactory.cl/producto/43028-gigabyte-video-nvidia-geforce-gtx1050ti-4gb-low-profile-oc,pcfactory,1050TI,239990
6, QUADRO P620 V2 2GB GDDR5,$ 269.990,1,https://www.pcfactory.cl/producto/36428-pny-video-nvidia-quadro-p620-v2-2gb-gddr5,pcfactory,OTROS,269990
7, RADEON RX 6700XT 12GB MECH 2X OC,$ 929.990,1,https://www.pcfactory.cl/producto/41138-msi-video-amd-radeon-rx-6700xt-12gb-mech-2x-oc,pcfactory,6700XT,929990
8,MSI ® N210-MD1G/ D3 DDR3 64 BITS PCI EXPRESS X16 2.0,$46.390,1,https://www.spdigital.cl/products/view/38673,spdigital,OTROS,46390
9,"GIGABYTE  RTX 3080TI VISION OC, 12GB, GDDR6X, 384BITS, PCI-E 4.0, HDMI",$1.799.990,1,https://www.spdigital.cl/products/view/83414,spdigital,3080TI,1799990
10,"GIGABYTE  RTX 3070TI GAMING OC, 8GB, GDDR6X, 256BITS, PCI-E 4.0, HDMI",$1.249.990,1,https://www.spdigital.cl/products/view/83412,spdigital,3070TI,1249990
11,ASUS DUAL RADEON RX 6600 DE 8GB GDDR6,$ 599.488,1,https://www.winpy.cl/venta/tarjeta-de-video-asus-dual-radeon-rx-6600-de-8gb-gddr6/,winpy,6600,599488
12,GIGABYTE   GTX 1660 TI OC,$614.990,1,https://tecno-master.cl/producto/gigabyte-nvidia-geforce-gtx-1660-ti-oc/,tecno master,1660TI,614990
13,GIGABYTE   GT 730,$108.900,1,https://tecno-master.cl/producto/gigabyte-geforce-nvidia-gt-730/,tecno master,OTROS,108900
14,  RTX3070 8GB LHR GAMING Z TRIO,$ 989.990,1,https://www.pcfactory.cl/producto/42448-msi-video-nvidia-geforce-rtx3070-8gb-lhr-gaming-z-trio,pcfactory,3070,989990
15,ARMADO DE PC NÂ° 34 [I5-9500],$392.990,1,https://tecno-master.cl/producto/armado-de-pc-n-34-i5-9500/,tecno master,OTROS,392990
16,(1GB GDDR3),$ 43.776,1,https://www.winpy.cl/venta/tarjeta-de-video-msi-n210-md1g-d3-1gb-gddr3/,winpy,OTROS,43776
17,  RTX3080 10GB MASTER V2.0,$ 1.779.990,1,https://www.pcfactory.cl/producto/42671-gigabyte-video-nvidia-geforce-rtx3080-10gb-master-v2-0,pcfactory,3080,1779990
18,  RTX3080 10GB GAMING Z TRIO LHR,$ 1.799.990,2,https://www.pcfactory.cl/producto/42740-msi-video-nvidia-geforce-rtx3080-10gb-gaming-z-trio-lhr,pcfactory,3080,1799990
19,BRACKET VERTICAL SHARKOON ELITE PCI-E 3.0 PARA TARJETAS DE VIDEO ,$23.990,2,https://www.spdigital.cl/products/view/80612,spdigital,OTROS,23990
20,  RTX3060TI 8GB 1-CLICK OC LHR,$ 749.990,2,https://www.pcfactory.cl/producto/43332-galax-video-nvidia-geforce-rtx3060ti-8gb-1-click-oc-lhr,pcfactory,3060TI,749990
21,GIGABYTE  RTX 3080 TI VISION OC 12GB,$1.789.800,2,https://tecno-master.cl/producto/gigabyte-geforce-rtx-3080-ti-vision-oc-12gb/,tecno master,3080TI,1789800
22,  GT1030 2GB DDR4,$ 99.990,2,https://www.pcfactory.cl/producto/43751-palit-video-nvidia-geforce-gt1030-2gb-ddr4,pcfactory,OTROS,99990
23,MSI RADEON RX 6900 XT GAMING Z TRIO 16G,$1.628.890,2,https://tecno-master.cl/producto/msi-radeon-rx-6900-xt-gaming-z-trio-16g/,tecno master,6900XT,1628890
24,  RTX3070 O8GB V2 TUF GAMING LHR,$ 969.990,2,https://www.pcfactory.cl/producto/43634-asus-video-nvidia-geforce-rtx3070-o8gb-v2-tuf-gaming-lhr,pcfactory,3070,969990
25,  RTX3070TI 8GB VISION OC,$ 1.329.990,2,https://www.pcfactory.cl/producto/42668-gigabyte-video-nvidia-geforce-rtx3070ti-8gb-vision-oc,pcfactory,3070TI,1329990
26,  RTX3070 O8GB DUAL V2,$ 969.990,2,https://www.pcfactory.cl/producto/43635-asus-video-nvidia-geforce-rtx3070-o8gb-dual-v2,pcfactory,3070,969990
27,  RTX3080TI MASTER 12G,$ 2.184.990,3,https://www.pcfactory.cl/producto/42673-gigabyte-video-nvidia-geforce-rtx3080ti-master-12g,pcfactory,3080TI,2184990
28,  GT1030 2GB PHOENIX,$ 159.990,3,https://www.pcfactory.cl/producto/35635-asus-video-nvidia-geforce-gt1030-2gb-phoenix,pcfactory,OTROS,159990
29,TECLADO THERMALTAKE NEPTUNE PRO BLUE LIGHT (KB-NPP-TBBLSP-01),$54.980,3,https://tecno-master.cl/producto/teclado-thermaltake-neptune-pro-blue-light-kb-npp-tbblsp-01/,tecno master,OTROS,54980
30,ASUS TUF GAMING  RTX 3080 TI DE 12GB GDDR6X,$ 2.321.344,3,https://www.winpy.cl/venta/tarjeta-de-video-asus-tuf-gaming-geforce-rtx-3080-ti-de-12gb-gddr6x/,winpy,3080TI,2321344
31,  RTX3080TI TUF GAMING O12G,$ 1.999.990,3,https://www.pcfactory.cl/producto/42196-asus-video-nvidia-geforce-rtx3080ti-tuf-gaming-o12g,pcfactory,3080TI,1999990
32,  RTX3080TI 12GB ROG STRIX LC GAMING,$ 2.499.990,3,https://www.pcfactory.cl/producto/43629-asus-video-nvidia-geforce-rtx3080ti-12gb-rog-strix-lc-gaming,pcfactory,3080TI,2499990
33,ZOTAC GAMING  RTX 2060 BLACK DE 6GB GDDR6,$ 604.960,4,https://www.winpy.cl/venta/tarjeta-de-video-zotac-gaming-geforce-rtx-2060-black-de-6gb-gddr6/,winpy,2060,604960
